"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
1.06245,1.06245,-1.129
1.04590,1.04590,-1.128
1.04457,1.04457,-1.128
1.03815,1.03815,-1.126
1.02264,1.02264,-1.127
1.01227,1.01227,-1.126
1.00073,1.00073,-1.127
0.98082,0.98082,-1.126
0.97493,0.97493,-1.127
0.96622,0.96622,-1.127
0.95445,0.95445,-1.126
0.94005,0.94005,-1.127
0.93481,0.93481,-1.126
0.92790,0.92790,-1.126
0.91492,0.91492,-1.126
0.90909,0.90909,-1.126
0.90182,0.90182,-1.126
0.88678,0.88678,-1.126
0.88364,0.88364,-1.126
0.87744,0.87744,-1.127
0.86467,0.86467,-1.126
0.86020,0.86020,-1.126
0.85406,0.85406,-1.125
0.84019,0.84019,-1.125
0.83385,0.83385,-1.124
0.82828,0.82828,-1.123
0.81769,0.81769,-1.123
0.81253,0.81253,-1.123
0.80811,0.80811,-1.123
0.79999,0.79999,-1.123
0.79602,0.79602,-1.123
0.79053,0.79053,-1.123
0.78204,0.78204,-1.122
0.77524,0.77524,-1.122
0.77055,0.77055,-1.122
0.76743,0.76743,-1.123
0.76526,0.76526,-1.122
0.76286,0.76286,-1.122
0.75754,0.75754,-1.122
0.75079,0.75079,-1.123
0.74602,0.74602,-1.123
0.72948,0.72948,-1.123
0.71985,0.71985,-1.123
0.71103,0.71103,-1.123
0.69807,0.69807,-1.123
0.69424,0.69424,-1.122
0.68933,0.68933,-1.123
0.67247,0.67247,-1.120
0.65570,0.65570,-1.120
0.64107,0.64107,-1.119
0.62943,0.62943,-1.119
0.62718,0.62718,-1.119
0.62320,0.62320,-1.119
0.61464,0.61464,-1.119
0.60237,0.60237,-1.119
0.59497,0.59497,-1.119
0.58344,0.58344,-1.119
0.57675,0.57675,-1.119
0.57101,0.57101,-1.119
0.55624,0.55624,-1.118
0.55099,0.55099,-1.119
0.54552,0.54552,-1.119
0.53247,0.53247,-1.119
0.51598,0.51598,-1.118
0.50606,0.50606,-1.117
