"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.03201,0.03201,-0.787
0.03210,0.03210,-0.789
0.03181,0.03181,-0.791
0.03123,0.03123,-0.791
0.03061,0.03061,-0.791
0.03038,0.03038,-0.792
0.02968,0.02968,-0.791
0.02989,0.02989,-0.792
0.02960,0.02960,-0.793
0.02940,0.02940,-0.792
0.02933,0.02933,-0.793
0.02887,0.02887,-0.794
0.02722,0.02722,-0.798
0.02673,0.02673,-0.797
0.02644,0.02644,-0.798
0.02643,0.02643,-0.798
0.02603,0.02603,-0.798
0.02550,0.02550,-0.798
0.02582,0.02582,-0.799
0.02565,0.02565,-0.799
0.02562,0.02562,-0.800
0.02571,0.02571,-0.803
0.02567,0.02567,-0.804
0.02600,0.02600,-0.804
0.02594,0.02594,-0.804
0.02571,0.02571,-0.804
0.02583,0.02583,-0.805
0.02574,0.02574,-0.805
0.02571,0.02571,-0.805
0.02534,0.02534,-0.805
0.02733,0.02733,-0.805
0.02702,0.02702,-0.805
0.02788,0.02788,-0.805
0.02789,0.02789,-0.805
0.03044,0.03044,-0.805
0.03122,0.03122,-0.806
0.03247,0.03247,-0.806
0.03371,0.03371,-0.809
0.03557,0.03557,-0.811
0.03868,0.03868,-0.810
0.04178,0.04178,-0.811
0.04279,0.04279,-0.811
0.04781,0.04781,-0.811
0.04878,0.04878,-0.812
0.04912,0.04912,-0.813
0.05028,0.05028,-0.815
0.05771,0.05771,-0.815
0.05731,0.05731,-0.815
0.05974,0.05974,-0.814
0.05960,0.05960,-0.815
0.06372,0.06372,-0.815
0.06268,0.06268,-0.815
0.06079,0.06079,-0.816
0.05698,0.05698,-0.818
0.05287,0.05287,-0.819
0.05133,0.05133,-0.819
0.04749,0.04749,-0.819
0.04491,0.04491,-0.822
0.03835,0.03835,-0.823
0.03624,0.03624,-0.823
0.03445,0.03445,-0.824
0.03192,0.03192,-0.828
0.02948,0.02948,-0.829
0.02824,0.02824,-0.829
0.02736,0.02736,-0.828
0.02661,0.02661,-0.829
0.02682,0.02682,-0.829
0.02686,0.02686,-0.831
0.03018,0.03018,-0.833
0.03087,0.03087,-0.833
0.03322,0.03322,-0.833
0.03625,0.03625,-0.834
0.04076,0.04076,-0.833
0.04216,0.04216,-0.833
0.04585,0.04585,-0.837
0.05382,0.05382,-0.837
0.05702,0.05702,-0.838
0.06168,0.06168,-0.838
0.06709,0.06709,-0.837
0.07320,0.07320,-0.838
0.07690,0.07690,-0.841
0.07747,0.07747,-0.841
0.07880,0.07880,-0.841
0.08023,0.08023,-0.841
0.08076,0.08076,-0.841
0.08220,0.08220,-0.843
0.08287,0.08287,-0.845
0.08434,0.08434,-0.845
0.08469,0.08469,-0.845
0.08664,0.08664,-0.845
0.08714,0.08714,-0.845
0.08710,0.08710,-0.845
