"Light Intensity (% of scale max) Run #8","Relative Intensity Run #8","Voltage (V) Run #8"
0.02414,0.02414,0.966
0.02380,0.02380,0.966
0.02385,0.02385,0.962
0.02373,0.02373,0.962
0.02403,0.02403,0.961
0.02408,0.02408,0.958
0.02394,0.02394,0.956
0.02396,0.02396,0.956
0.02420,0.02420,0.957
0.02422,0.02422,0.957
0.02423,0.02423,0.952
0.02370,0.02370,0.952
0.02437,0.02437,0.952
0.02444,0.02444,0.948
0.02428,0.02428,0.947
0.02451,0.02451,0.947
0.02437,0.02437,0.943
0.02437,0.02437,0.942
0.02420,0.02420,0.942
0.02426,0.02426,0.941
0.02455,0.02455,0.939
0.02437,0.02437,0.938
0.02434,0.02434,0.939
0.02426,0.02426,0.940
0.02415,0.02415,0.940
0.02422,0.02422,0.939
0.02449,0.02449,0.936
0.02467,0.02467,0.935
0.02446,0.02446,0.935
0.02454,0.02454,0.935
0.02429,0.02429,0.933
0.02432,0.02432,0.931
0.02408,0.02408,0.930
0.02423,0.02423,0.929
0.02408,0.02408,0.926
0.02420,0.02420,0.924
0.02396,0.02396,0.922
0.02403,0.02403,0.919
0.02406,0.02406,0.919
0.02406,0.02406,0.917
0.02390,0.02390,0.916
0.02390,0.02390,0.914
0.02386,0.02386,0.911
0.02361,0.02361,0.911
0.02359,0.02359,0.907
0.02403,0.02403,0.907
0.02377,0.02377,0.906
0.02411,0.02411,0.902
0.02420,0.02420,0.902
0.02434,0.02434,0.902
0.02400,0.02400,0.897
0.02402,0.02402,0.897
0.02391,0.02391,0.897
0.02386,0.02386,0.895
0.02405,0.02405,0.893
0.02422,0.02422,0.894
0.02394,0.02394,0.893
0.02397,0.02397,0.892
0.02403,0.02403,0.889
0.02396,0.02396,0.888
0.02406,0.02406,0.888
0.02386,0.02386,0.888
0.02414,0.02414,0.884
0.02412,0.02412,0.884
0.02422,0.02422,0.884
0.02422,0.02422,0.883
0.02417,0.02417,0.880
0.02391,0.02391,0.880
0.02394,0.02394,0.880
0.02385,0.02385,0.878
0.02386,0.02386,0.876
0.02380,0.02380,0.877
0.02412,0.02412,0.874
0.02383,0.02383,0.871
0.02391,0.02391,0.870
0.02391,0.02391,0.866
0.02414,0.02414,0.865
0.02377,0.02377,0.862
0.02386,0.02386,0.862
0.02414,0.02414,0.859
0.02379,0.02379,0.858
0.02382,0.02382,0.855
0.02403,0.02403,0.854
0.02390,0.02390,0.853
0.02405,0.02405,0.854
0.02422,0.02422,0.852
0.02399,0.02399,0.850
0.02417,0.02417,0.849
0.02420,0.02420,0.848
0.02405,0.02405,0.845
0.02431,0.02431,0.845
0.02412,0.02412,0.842
0.02412,0.02412,0.839
0.02472,0.02472,0.839
0.02490,0.02490,0.836
0.02495,0.02495,0.835
0.02512,0.02512,0.835
0.02489,0.02489,0.835
0.02484,0.02484,0.834
0.02499,0.02499,0.831
0.02518,0.02518,0.830
0.02475,0.02475,0.827
0.02505,0.02505,0.827
0.02493,0.02493,0.823
0.02473,0.02473,0.822
0.02487,0.02487,0.822
0.02446,0.02446,0.821
0.02454,0.02454,0.819
0.02464,0.02464,0.818
0.02454,0.02454,0.818
0.02435,0.02435,0.815
0.02438,0.02438,0.814
0.02429,0.02429,0.814
0.02422,0.02422,0.814
0.02437,0.02437,0.812
0.02425,0.02425,0.809
0.02417,0.02417,0.808
0.02423,0.02423,0.808
0.02420,0.02420,0.805
0.02435,0.02435,0.803
0.02403,0.02403,0.804
0.02419,0.02419,0.804
0.02448,0.02448,0.804
0.02408,0.02408,0.804
0.02406,0.02406,0.804
0.02388,0.02388,0.805
0.02386,0.02386,0.805
0.02393,0.02393,0.804
0.02385,0.02385,0.801
0.02403,0.02403,0.800
0.02412,0.02412,0.800
0.02412,0.02412,0.800
0.02415,0.02415,0.798
0.02399,0.02399,0.796
0.02426,0.02426,0.795
0.02428,0.02428,0.795
0.02483,0.02483,0.792
0.02457,0.02457,0.792
0.02451,0.02451,0.791
0.02469,0.02469,0.789
0.02454,0.02454,0.787
0.02457,0.02457,0.786
0.02483,0.02483,0.786
0.02510,0.02510,0.783
0.02487,0.02487,0.782
0.02499,0.02499,0.783
0.02515,0.02515,0.782
0.02490,0.02490,0.778
0.02495,0.02495,0.778
0.02477,0.02477,0.775
0.02473,0.02473,0.772
0.02448,0.02448,0.773
0.02470,0.02470,0.772
0.02448,0.02448,0.769
0.02443,0.02443,0.768
0.02444,0.02444,0.769
0.02417,0.02417,0.765
0.02414,0.02414,0.764
0.02408,0.02408,0.763
0.02412,0.02412,0.760
0.02403,0.02403,0.760
0.02408,0.02408,0.760
0.02377,0.02377,0.756
0.02391,0.02391,0.756
0.02376,0.02376,0.754
0.02397,0.02397,0.751
0.02379,0.02379,0.751
0.02373,0.02373,0.750
0.02377,0.02377,0.748
0.02409,0.02409,0.745
0.02399,0.02399,0.745
0.02399,0.02399,0.745
0.02390,0.02390,0.741
0.02426,0.02426,0.741
0.02438,0.02438,0.740
